Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Matlab/Octave,Business intelligence dasboarding tool like PowerBI,SQL,R - Ratemaking,R - Reserving,R - Capital modeling,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Matlab/Octave - Ratemaking,Matlab/Octave - Reserving,Matlab/Octave - Capital modeling,Business intelligence dasboarding tool like PowerBI - Ratemaking,Business intelligence dasboarding tool like PowerBI - Reserving,Business intelligence dasboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,Matlab/Octave,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
12824496842,405148313,7/16/2021 10:48,7/16/2021 10:52,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,R,,,,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Consulting Firm,,200+,Between 10 and 15
12824444211,405148313,7/16/2021 9:41,7/16/2021 10:31,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Expert,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,@Risk,,,,,Python,A data visualization tool like Tableau,,,,,Insufficient/inadequate staff,Lack of management support,,,,,,,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,Markov chains & matrices,,FCAS,31-40 years old,Canada,,Broker or (re)insurance intermediary,,51-200,Between 10 and 15
12824431456,405148313,7/16/2021 10:11,7/16/2021 10:25,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,At least once a day,Not at all,Expert,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,,,,,,,,None,,,,,Not enough time,,,Insufficient/inadequate staff,,,Financial cost,Not enough time,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,5-Jan,More than 20
12824422009,405148313,7/16/2021 10:14,7/16/2021 10:21,,,,,,About once a month,At least once a day,Not at all,About once a week,Not at all,At least once a day,Not at all,At least once a day,Not at all,Basic stuff,Expert,Not at all,Basic stuff,Not at all,Basic stuff,Not at all,Basic stuff,Basic stuff,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,R,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Other financial institution,,5-Jan,More than 20
12824344725,405148313,7/16/2021 9:44,7/16/2021 9:48,,,,,,,At least once a day,Not at all,Not at all,Less than once a month,About once a week,Not at all,Less than once a month,At least once a day,Basic stuff,Expert,Not at all,Not at all,Basic stuff,Intermediate,Not at all,Intermediate,Intermediate,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,R,,,,,A data visualization tool like Tableau,,,,,,Lack of management support,,,Not enough time,,,,Lack of management support,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,51-200,More than 20
12824279962,405148313,7/16/2021 9:15,7/16/2021 9:19,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,About once a month,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Intermediate,Basic stuff,Unsure,Very much so,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Very much so,,,,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,25-Nov,Between 15 and 20
12824277446,405148313,7/16/2021 9:14,7/16/2021 9:18,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,At least once a day,Not at all,Expert,Not at all,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Intermediate,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Very much so,Unsure,Unsure,,,,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15
12824250357,405148313,7/16/2021 9:00,7/16/2021 9:06,,,,,,Not at all,Less than once a month,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,,Excel,,,,,,,,,,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,,,,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,Too much focus is put on data extraction and manipulation while de-emphasizing analysis and application of  professional judgment.  ,ACAS,51-60 years old,United States,,Consulting Firm,,5-Jan,Between 15 and 20
12824211961,405148313,7/16/2021 8:44,7/16/2021 8:49,,,,,,About once a week,At least once a day,Less than once a month,Less than once a month,Not at all,Less than once a month,Not at all,Less than once a month,About once a week,Expert,Expert,Intermediate,Intermediate,Not at all,Basic stuff,Not at all,Basic stuff,Advanced,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,,,,,,,,,,,,,,,,No perceived benefit,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",,,AI/deep learning,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,Canada,,Insurance company,,51-200,Between 10 and 15
12824162819,405148313,7/16/2021 8:12,7/16/2021 8:26,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a month,Less than once a month,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Not at all,Basic stuff,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,,,Excel,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,Lack of IT support,,Not enough time,No perceived benefit,,,,Lack of IT support,,Not enough time,No perceived benefit,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,ACAS,51-60 years old,United States,,Reinsurance company,,5-Jan,More than 20
12823842163,405148313,7/16/2021 5:18,7/16/2021 5:21,,,,,,Less than once a month,At least once a day,About once a week,About once a week,Not at all,Not at all,Not at all,At least once a day,About once a week,Basic stuff,Advanced,Intermediate,Advanced,,Not at all,Not at all,Intermediate,Intermediate,Very much so,Somewhat,Unsure,Very much so,Very much so,Somewhat,,,,Somewhat,Not at all,Unsure,,,,,,,,,,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,,R,Excel,,,Python,,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,Financial cost,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Insurance company,,10-Jun,Between 10 and 15
12823695258,405148313,7/16/2021 3:36,7/16/2021 3:40,,,,,,Not at all,At least once a day,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Advanced,Intermediate,Not at all,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,,,,,,Python,A data visualization tool like Tableau,,,,,,,,Financial cost,Not enough time,,,,Lack of management support,,,,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,Asia,,Consulting Firm,,5-Jan,Between 5 and 10
12823693684,405148313,7/16/2021 3:32,7/16/2021 3:39,,,,,,Less than once a month,At least once a day,Less than once a month,Less than once a month,Not at all,Not at all,Not at all,About once a month,About once a month,Basic stuff,Advanced,Intermediate,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,Basic stuff,Somewhat,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Somewhat,Unsure,@Risk - a stochastic analysis tool.,,,,SAS,,,,,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",,,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,FCAS,41-50 years old,Asia,,Reinsurance company,,5-Jan,Between 15 and 20
12823688869,405148313,7/16/2021 3:29,7/16/2021 3:35,,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,About once a week,Not at all,Not at all,Expert,Intermediate,Basic stuff,Not at all,Intermediate,Not at all,Basic stuff,Not at all,Very much so,Unsure,Unsure,Somewhat,Very much so,Unsure,Not at all,Somewhat,Unsure,Very much so,Somewhat,Unsure,Very much so,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Unsure,Unsure,,,,Google Sheets,,Python,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,SQL,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,,,,,,,,,,,FCAS,41-50 years old,Canada,,Government or regulatory organization,,200+,More than 20
12823420779,405148313,7/15/2021 23:56,7/15/2021 23:57,,,,,,Not at all,At least once a day,About once a month,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,Less than once a month,Basic stuff,Advanced,Advanced,Intermediate,Not at all,Not at all,Not at all,Not at all,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,Python,,,,,,,,,,Not enough time,,,,,,Financial cost,,,,,,,,,,,,,,,,,FCAS,Up to 30 years old,United States,,Insurance company,,200+,Between 5 and 10
12823328198,405148313,7/15/2021 22:43,7/15/2021 22:46,,,,,,Not at all,At least once a day,At least once a day,Not at all,About once a month,Not at all,Not at all,Not at all,About once a week,Not at all,Expert,Advanced,Basic stuff,Not at all,Basic stuff,Not at all,Not at all,Intermediate,Somewhat,Unsure,Unsure,Very much so,Very much so,Somewhat,Not at all,Not at all,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,,,,,Python,,,,SQL,,,,,,Not enough time,,,,,,,Not enough time,No perceived benefit,,,,Premium adjustment,,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,ACAS,31-40 years old,United States,,Insurance company,,5-Jan,Between 10 and 15
12823319134,405148313,7/15/2021 22:31,7/15/2021 22:39,,,,,,About once a week,At least once a day,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Not at all,About once a week,Less than once a month,Advanced,Advanced,Intermediate,Intermediate,Basic stuff,Basic stuff,Basic stuff,Basic stuff,Basic stuff,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,WTW suite,R,,,,Python,,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,United States,,Insurance company,,26-50,Between 15 and 20
12823285726,405148313,7/15/2021 22:11,7/15/2021 22:15,,,,,,About once a month,At least once a day,About once a week,Not at all,About once a week,Less than once a month,Not at all,Less than once a month,About once a month,Intermediate,Expert,Intermediate,Basic stuff,Advanced,Basic stuff,Basic stuff,Basic stuff,Advanced,Very much so,,,Very much so,,,Somewhat,,,Unsure,Unsure,,Very much so,,,Somewhat,,,Very much so,,,Very much so,,,Very much so,,,,,,,,,A data visualization tool like Tableau,,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,51-60 years old,Canada,,Consulting Firm,,5-Jan,More than 20
12823245708,405148313,7/15/2021 21:38,7/15/2021 21:46,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,Not at all,Not at all,Less than once a month,About once a week,Not at all,Expert,Intermediate,Not at all,Not at all,Not at all,Not at all,Basic stuff,Advanced,Very much so,,,Very much so,Very much so,,Not at all,Not at all,,Unsure,,,Somewhat,,,Somewhat,,,Unsure,,,Very much so,,,Very much so,,,VBA/macros - important,R,,,,,,,A business intelligence dashboarding tool like Power BI,,,,,Lack of IT support,,Not enough time,,,,,Lack of IT support,,,,,,,,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,Can we have some continuing Ed courses in some of those newer methods listed above?,FCAS,31-40 years old,United States,,Reinsurance company,,51-200,Between 15 and 20
12823235902,405148313,7/15/2021 21:36,7/15/2021 21:39,,,,,,Not at all,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,Less than once a month,Less than once a month,Not at all,Expert,Not at all,Advanced,Not at all,Not at all,Not at all,Not at all,Basic stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,Python,,,,,,Insufficient/inadequate staff,,,,Not enough time,,,,,Lack of IT support,,Not enough time,,,,,,,,,,,,,,,,FCAS,51-60 years old,United States,,Insurance company,,,
12823197239,405148313,7/15/2021 21:04,7/15/2021 21:14,,,,,,About once a week,At least once a day,Not at all,About once a week,Not at all,Not at all,Not at all,About once a week,,Intermediate,Advanced,Not at all,Intermediate,Not at all,Not at all,Not at all,Advanced,Advanced,Somewhat,Very much so,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Very much so,Very much so,Unsure,,R,,,SAS,,,,,,,,Lack of management support,,Financial cost,Not enough time,No perceived benefit,,Insufficient/inadequate staff,Lack of management support,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,FCAS,31-40 years old,Other (please specify),China,Insurance company,,5-Jan,Between 5 and 10
12823151359,405148313,7/15/2021 20:40,7/15/2021 20:45,,,,,,About once a week,At least once a day,Not at all,Not at all,Less than once a month,About once a month,Not at all,About once a week,About once a month,Basic stuff,Expert,Basic stuff,Not at all,Basic stuff,Basic stuff,Not at all,Basic stuff,Advanced,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Unsure,Unsure,Unsure,Not at all,Not at all,Somewhat,Very much so,Very much so,Very much so,,R,,,,Python,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,,,,Not enough time,,,,Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,31-40 years old,United States,,Reinsurance company,,26-50,Between 15 and 20
12823112081,405148313,7/15/2021 20:18,7/15/2021 20:25,,,,,,About once a week,At least once a day,Not at all,Not at all,Not at all,Less than once a month,Not at all,Not at all,About once a month,Basic stuff,Expert,Not at all,Not at all,Not at all,Basic stuff,Not at all,Not at all,Basic stuff,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Somewhat,Not at all,,R,,,,,,,,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,,Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,FCAS,41-50 years old,United States,,Insurance company,,51-200,Between 15 and 20
12823104267,405148313,7/15/2021 20:05,7/15/2021 20:19,,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,About once a month,Not at all,About once a week,Not at all,Basic stuff,Advanced,Not at all,Not at all,Not at all,Basic stuff,Not at all,Intermediate,Basic stuff,Very much so,Somewhat,Somewhat,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very much so,Somewhat,Not at all,Unsure,Unsure,Unsure,Somewhat,Very much so,Very much so,Very much so,Very much so,Somewhat,C#,,,,,,A data visualization tool like Tableau,,,,,,,,,Not enough time,,,,,,,,,,,,,,,,"Time series analysis, including claim trend analysis",AI/deep learning,,,,,,ACAS,61 or older,Australia,,Consulting Firm,,5-Jan,More than 20
